年_西元,縣市,老化指數
2023,高雄市,170.9674994198076
2023,宜蘭縣,170.44903749532048
2023,新竹縣,90.54642351934908
2023,苗栗縣,163.96347925328115
2023,彰化縣,156.62403434057563
2023,南投縣,203.80348977876196
2023,雲林縣,197.8013349038084
2023,嘉義縣,263.1057589589201
2023,屏東縣,200.34037015254088
2023,臺東縣,176.25924015815713
2023,花蓮縣,176.4507611931914
2023,澎湖縣,194.34087882822902
2023,基隆市,209.8669337530405
2023,新竹市,93.05350362443907
2023,嘉義市,147.7995483122749
2023,金門縣,212.03199455411843
2023,連江縣,146.56381486676017
2024,新北市,172.65835980714186
2024,臺北市,189.57445755300716
2024,桃園市,118.10967292705958
2024,臺中市,127.29063722082503
2024,臺南市,174.52751055701748
2024,高雄市,181.27912282630058
2024,宜蘭縣,179.024750794063
2024,新竹縣,95.68735550417927
2024,苗栗縣,172.5064171565786
2024,彰化縣,167.30903896249404
2024,南投縣,214.33193479032292
2024,雲林縣,198.8022838172374
2024,嘉義縣,276.28547973830194
2024,屏東縣,208.60995589161942
2024,臺東縣,183.72365848359766
2024,花蓮縣,188.0490974729242
2024,澎湖縣,207.40776511493144
2024,基隆市,224.53249181860681
2024,新竹市,99.44894239328558
2024,嘉義市,156.0778816199377
2024,金門縣,232.15804394046776
2024,連江縣,162.72661348803481
2025,新北市,185.53631212979656
2025,臺北市,202.05722546917073
2025,桃園市,127.33410942956927
2025,臺中市,136.44887155958284
2025,臺南市,184.9649207486824
2025,高雄市,192.10156058834724
2025,宜蘭縣,189.67486283275755
2025,新竹縣,101.87625111681614
2025,苗栗縣,179.557604918471
2025,彰化縣,178.35333434604283
2025,南投縣,224.63666793779927
2025,雲林縣,206.7824817518248
2025,嘉義縣,291.69181199815887
2025,屏東縣,218.71952078026803
2025,臺東縣,194.70722229666353
2025,花蓮縣,200.53036171861032
2025,澎湖縣,223.65194856971993
2025,基隆市,240.21332055007937
2025,新竹市,106.59428157799493
2025,嘉義市,164.47372578759442
2025,金門縣,255.57212076034287
2025,連江縣,180.23166023166024
